datapath_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nanosec,byte_count_per_second,label
1,198180204199,1380,10.0.0.2,80,17,0,0,16,0,0,0,0,0,0.0,1
1,198.208.35.163,1321,10.0.0.2,80,17,0,0,22,0,0,0,0,0,0.0,1
1,199.105.112.76,1413,10.0.0.2,80,17,0,0,13,0,0,0,0,0,0.0,1
1,200.130.221.36,1243,10.0.0.2,80,17,0,0,30,0,0,0,0,0,0.0,1
1,202210167177,1181,10.0.0.2,80,17,0,0,36,0,0,0,0,0,0.0,1
1,203.245.139.14,1229,10.0.0.2,80,17,0,0,32,0,0,0,0,0,0.0,1
1,203.63.63.121,1142,10.0.0.2,80,17,0,0,40,0,0,0,0,0,0.0,1
1,204.21.114.218,1135,10.0.0.2,80,17,0,0,41,0,0,0,0,0,0.0,1
1,204229110139,1277,10.0.0.2,80,17,0,0,27,0,0,0,0,0,0.0,1
1,205146141121,1320,10.0.0.2,80,17,0,0,22,0,0,0,0,0,0.0,1
1,205.253.65.240,1119,10.0.0.2,80,17,0,0,43,0,0,0,0,0,0.0,1
1,205.77.146.153,1160,10.0.0.2,80,17,0,0,38,0,0,0,0,0,0.0,1
1,207.114.123.93,1217,10.0.0.2,80,17,0,0,33,0,0,0,0,0,0.0,1
1,207.73.152.49,1241,10.0.0.2,80,17,0,0,30,0,0,0,0,0,0.0,1
1,209210215100,1291,10.0.0.2,80,17,0,0,25,0,0,0,0,0,0.0,1
1,21.210.67.246,1398,10.0.0.2,80,17,0,0,15,0,0,0,0,0,0.0,1
1,21231142220,1307,10.0.0.2,80,17,0,0,24,0,0,0,0,0,0.0,1
